Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
6th;22;5,7;70;Male;Islam;Rural;Own House;Nuclear;1;Others;House Wife;Strongly-agree;3,02;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;Sports;Strongly-agree;Strongly-agree;Never;Never;No;Never;Very Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
5th;22;5 feet 10 inches ;65kg;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Agree;3,35;1-3 hours;1-3 hours;Single;No;Offen;yes;No;nothing ;Strongly-agree;Strongly-agree;Never;Never;No;No chance at all;Very Dissatisfied;Somewhat;Somewhat;Somewhat;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
5th;22;6 feet;73;Male;Islam;Rural;Own House;Nuclear;0;Others;House Wife;Strongly-agree;3,87;1-3 hours;1-3 hours;Single;No;Offen;yes;No;No extra curricular activity;Agree;Neutral;It was just a brief passing thought;Rarely (1 time);No;No chance at all;Satisfied;Somewhat;Not at all Noticeable;Barely;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
4;22;5.4 feet;57;Male;Islam;Urban;Rented House or Mess;Join or Extended;3;Business;House Wife;Agree;3,37;1-3 hours;4-6 hours;Single;No;Regularly;yes;No;nothing ;Agree;Agree;I have had a plan at least once to kill myself but did not try to do it;Never;Yes, at one time, but did not really want to die;Never;Very Dissatisfied;Somewhat;Not at all Noticeable;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
4th;22;5.8 feet;55;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Others;House Wife;Strongly-agree;3,25;7-9 hours;1-3 hours;Single;No;Offen;yes;yes;Problem solving ;Agree;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Barely;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
4th;22;5,7;71;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Strongly-agree;3;4-6 hours;1-3 hours;Single;No;Offen;yes;No;No;Agree;Agree;Never;Never;No;Never;Dissatisfied;Much;Somewhat;Somewhat;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all
8th;22;5,4;64;Female;Islam;Urban;Own House;Nuclear;1;Others;House Wife;Agree;3,7;1-3 hours;1-3 hours;Single;No;Offen;yes;No;Nothing ;Neutral;Agree;It was just a brief passing thought;Rarely (1 time);No;Never;Satisfied;A little;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
7th;22;"5'3""";45;Female;Islam;Urban;Own House;Nuclear;2;Others;House Wife;Strongly-agree;3,56;1-3 hours;4-6 hours;Single;No;Offen;No;No;no;Neutral;Neutral;I have had a plan at least once to kill myself but did not try to do it;Sometimes (2 times);No;Never;Moderately Satisfied;A little;Barely;Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
8;23;5,1;63;Female;Islam;Rural;Own House;Nuclear;1;Business;House Wife;Strongly-disagree;3,5;4-6 hours;1-3 hours;Single;No;Regularly;yes;No;Nothing ;Strongly-agree;Agree;I have attempted to kill myself, and really hoped to die;Very Often (5 or more times);Yes, at one time, and really wanted to do it;Likely;Very Dissatisfied;Very Much Interfering;Barely;Much;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
5th;21;5 feet 3 inch;52;Male;Islam;Rural;Rented House or Mess;Nuclear;3;Others;Others;Agree;3,39;1-3 hours;4-6 hours;Single;No;Regularly;No;No;Nothing ;Agree;Agree;Never;Never;No;Never;Moderately Satisfied;Not at all Interfering;Not at all Noticeable;Barely;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
8;23;5feet 2inch;45;Female;Islam;Rural;Own House;Nuclear;2;Others;House Wife;Neural;3,13;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No;Agree;Strongly-agree;Never;Never;No;Never;Very Dissatisfied;Not at all Interfering;Somewhat;Barely;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time
4 th;22;5 feet 5 inch ;68;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Farmer;House Wife;Strongly-agree;3,01;1-3 hours;4-6 hours;Single;No;Offen;yes;No;singing ;Agree;Agree;Never;Never;No;Never;Dissatisfied;Somewhat;Much;Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;20;5feet6inch;58;Male;Islam;Rural;Rented House or Mess;Join or Extended;2;Service Holder;House Wife;Agree;3,6;4-6 hours;1-3 hours;Single;No;Regularly;yes;No;No;Neutral;Agree;Never;Never;No;Never;Dissatisfied;A little;Not at all Noticeable;Much;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time
7th;22;5.9 feet;65;Male;Islam;Urban;Own House;Nuclear;1;Business;House Wife;Agree;3,7;1-3 hours;1-3 hours;Single;No;Regularly;No;No;..;Neutral;Neutral;It was just a brief passing thought;Sometimes (2 times);No;Unlikely;Dissatisfied;Very Much Interfering;Much;Very Much;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
5;21;5,8;65-70;Male;Islam;Urban;Rented House or Mess;Nuclear;0;Service Holder;House Wife;Neural;3;1-3 hours;4-6 hours;Single;No;Regularly;No;yes;Member of a Social organization;Dis-agree;Strongly-agree;It was just a brief passing thought;Never;No;Never;Moderately Satisfied;Not at all Interfering;Somewhat;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time
5th;21;5 feet 5 inch;58kg;Male;Islam;Urban;Own House;Nuclear;1;Business;House Wife;Neural;3,44;1-3 hours;1-3 hours;Single;No;Regularly;No;No;No;Strongly_disagree;dis-agree;Never;Never;No;Never;Dissatisfied;Very Much Interfering;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all
6th;22;"5'6""";75;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;Service Holder;Agree;3,97;1-3 hours;4-6 hours;Single;No;Offen;yes;yes;Joined a varsity club, holding an executive position there working as volunteer in different programs. ;Neutral;dis-agree;It was just a brief passing thought;Sometimes (2 times);No;No chance at all;Moderately Satisfied;Somewhat;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time
4;19;5 feet 1 inch;40 kg;Female;Islam;Rural;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Neural;3,88;7-9 hours;1-3 hours;Single;No;Offen;No;No;It's a no;Agree;Neutral;It was just a brief passing thought;Very Often (5 or more times);Yes, more than once, but did not want to do it;Never;Very Satisfied;Not at all Interfering;Very Much Noticeable;Not at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
6th;24;5 feet 2 inch ;46;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Agree;3,14;1-3 hours;4-6 hours;Single;No;Offen;yes;No;I don’t do extra curriculum activity ;Neutral;Agree;I have had a plan at least once to kill myself and really wanted to die;Never;Yes, at one time, and really wanted to do it;Never;Moderately Satisfied;Somewhat;Barely;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time
7 th;21;5 feet 4 inche;49;Female;Islam;Urban;Rented House or Mess;Nuclear;2;Business;House Wife;Neural;3,17;1-3 hours;7-9 hours;Single;No;Rarely;yes;No;None ;Agree;Agree;Never;Never;No;Never;Moderately Satisfied;A little;Barely;Barely;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
6th;23;5 feet 3 inches ;50kg;Female;Islam;Rural;Rented House or Mess;Nuclear;3;Business;Others;Agree;3,54;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No;Agree;Agree;I have had a plan at least once to kill myself and really wanted to die;Very Often (5 or more times);No;Rather Unlikely;Moderately Satisfied;Not at all Interfering;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
4th;22;5;55;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Business;Others;Agree;3,28;1-3 hours;4-6 hours;Single;No;Offen;No;No;Nothing new ;Agree;Strongly-agree;I have had a plan at least once to kill myself but did not try to do it;Sometimes (2 times);No;Never;Moderately Satisfied;Very Much Interfering;Not at all Noticeable;Barely;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all
8th;24;5 ft 9.5 inch;60;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Others;House Wife;Neural;3,43;1-3 hours;4-6 hours;Single;No;Offen;No;yes;Chess;Neutral;Neutral;I have had a plan at least once to kill myself but did not try to do it;Rarely (1 time);No;Never;Moderately Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
7th;23;5feet 2inch;45kg;Female;Islam;Urban;Rented House or Mess;Nuclear;3;Others;House Wife;Strongly-agree;3,73;4-6 hours;4-6 hours;Single;No;Regularly;No;yes;I do arts sometimes and I am a academic mentor ;Agree;Agree;Never;Often (3-4 times);No;Never;Very Satisfied;Very Much Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
8th;23;5 feet 2 inches;68;Female;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;Service Holder;Strongly-agree;3,7;1-3 hours;4-6 hours;Single;No;Offen;No;No;No;Agree;Agree;Never;Never;No;Never;Moderately Satisfied;Somewhat;Somewhat;Somewhat;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time
7th;21;"5'4""";65;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Agree;3,21;4-6 hours;4-6 hours;Single;No;Offen;No;No;Nothing ;Neutral;Neutral;I have had a plan at least once to kill myself but did not try to do it;Often (3-4 times);No;Rather Unlikely;Moderately Satisfied;A little;Much;Not at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time
5th;20;5 feet 2inch;44kg;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Others;House Wife;Agree;3,5;4-6 hours;4-6 hours;Single;No;Regularly;yes;No;Answer is no;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
4th;22;5,7;75;Male;Islam;Urban;Own House;Nuclear;3;Business;House Wife;Strongly-agree;3,84;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;I am a Javascript developer;Neutral;Neutral;Never;Never;No;Never;Satisfied;A little;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
